Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 15, 2018 - December 31, 2018"
Statement,Data,WhenGenerated,"2025-02-15, 20:59:25 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Lot,Equity and Index Options,USD,CVX 04JAN19 106.0 P,"2018-12-11, 15:38:18",-5,,0.54632985,-273.164925,0.4428,-221.4,51.764925,ST
Open Positions,Data,Summary,Equity and Index Options,USD,FB 11JAN19 129.0 P,-,-4,100,0.88632543,-354.530172,2.8588,-1143.52,-788.989828,
Open Positions,Data,Lot,Equity and Index Options,USD,FB 11JAN19 129.0 P,"2018-12-13, 15:36:56",-4,,0.88632543,-354.530172,2.8588,-1143.52,-788.989828,ST
Open Positions,Data,Summary,Equity and Index Options,USD,GOOG 04JAN19 960.0 P,-,-1,100,5.8975603,-589.75603,1.1382,-113.82,475.93603,
Open Positions,Data,Lot,Equity and Index Options,USD,GOOG 04JAN19 960.0 P,"2018-12-11, 15:51:13",-1,,5.8975603,-589.75603,1.1382,-113.82,475.93603,ST
Open Positions,Data,Summary,Equity and Index Options,USD,GOOGL 04JAN19 965.0 P,-,-1,100,7.2970421,-729.70421,0.9023,-90.23,639.47421,
Open Positions,Data,Lot,Equity and Index Options,USD,GOOGL 04JAN19 965.0 P,"2018-12-07, 10:17:23",-1,,7.2970421,-729.70421,0.9023,-90.23,639.47421,ST
Open Positions,Data,Summary,Equity and Index Options,USD,GS 04JAN19 160.0 P,-,-3,100,0.996324,-298.8972,0.7147,-214.41,84.4872,
Open Positions,Data,Lot,Equity and Index Options,USD,GS 04JAN19 160.0 P,"2018-12-06, 10:52:18",-3,,0.996324,-298.8972,0.7147,-214.41,84.4872,ST
Open Positions,Data,Summary,Equity and Index Options,USD,HD 04JAN19 160.0 P,-,-3,100,1.24632075,-373.896225,0.1547,-46.41,327.486225,
